ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,PRI_PVEM_NA,PRI_NA,PVEM_NA,CAN_IND,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,,
5,ACAPULCO DE JUAREZ,228,C2,69,48,93,4,9,24,5,6,0,0,4,,7,,,,,0,8,277,590,46.95%,,
5,ACAPULCO DE JUAREZ,229,B,36,41,58,7,4,13,1,6,1,0,1,,1,,,,,0,9,178,405,43.95%,,
5,ACAPULCO DE JUAREZ,229,C1,42,38,63,4,9,17,1,2,2,0,3,,4,,,,,0,10,195,405,48.15%,,
5,ACAPULCO DE JUAREZ,230,B,58,39,64,13,4,21,2,18,1,2,1,,6,,,,,0,16,245,547,44.79%,,
5,ACAPULCO DE JUAREZ,230,C1,47,51,83,16,12,26,2,7,0,1,3,,0,,,,,0,17,265,547,48.45%,,
5,ACAPULCO DE JUAREZ,230,C2,51,67,105,0,3,14,6,5,0,5,0,,0,,,,,0,11,267,546,48.90%,,
5,ACAPULCO DE JUAREZ,233,B,54,36,117,6,14,12,8,16,2,3,1,,4,,,,,0,15,288,644,44.72%,,
5,ACAPULCO DE JUAREZ,233,C1,60,39,130,7,6,17,3,11,1,3,1,,8,,,,,0,16,302,643,46.97%,,
5,ACAPULCO DE JUAREZ,234,B,36,31,44,4,9,9,1,6,6,2,0,,3,,,,,0,12,163,390,41.79%,,
5,ACAPULCO DE JUAREZ,234,C1,36,40,48,1,7,10,0,3,3,4,0,,0,,,,,0,9,161,389,41.39%,,
5,ACAPULCO DE JUAREZ,235,B,65,68,102,1,7,16,1,4,3,1,1,,5,,,,,0,22,296,644,45.96%,,
5,ACAPULCO DE JUAREZ,236,B,48,34,58,1,12,16,4,4,0,4,3,,2,,,,,0,14,200,405,49.38%,,
5,ACAPULCO DE JUAREZ,236,C1,57,37,52,7,9,10,3,6,2,3,1,,0,,,,,0,9,196,405,48.40%,,
5,ACAPULCO DE JUAREZ,251,B,69,36,72,6,11,29,3,15,4,6,6,,4,,,,,0,17,278,613,45.35%,,
5,ACAPULCO DE JUAREZ,251,C1,55,57,87,3,11,20,0,16,3,1,1,,3,,,,,0,6,263,612,42.97%,,
5,ACAPULCO DE JUAREZ,252,B,79,67,68,2,12,23,4,11,1,5,0,,0,,,,,0,12,284,548,51.82%,,
5,ACAPULCO DE JUAREZ,252,C1,76,46,65,1,15,29,3,12,3,4,0,,0,,,,,0,8,262,548,47.81%,,
5,ACAPULCO DE JUAREZ,333,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,568,0.00%,,
5,ACAPULCO DE JUAREZ,333,C1,35,174,77,8,11,1,7,3,1,3,2,,12,,,,,0,22,356,568,62.68%,,
5,ACAPULCO DE JUAREZ,333,C2,47,145,65,8,7,10,1,9,1,1,0,,20,,,,,0,33,347,567,61.20%,,
5,ACAPULCO DE JUAREZ,334,B,45,151,81,7,7,9,3,11,2,3,1,,2,,,,,0,29,351,670,52.39%,,
5,ACAPULCO DE JUAREZ,334,C1,44,130,86,2,10,9,6,11,0,1,2,,2,,,,,0,19,322,670,48.06%,,
5,ACAPULCO DE JUAREZ,334,C2,35,130,68,10,11,16,3,11,0,5,0,,6,,,,,0,25,320,669,47.83%,,
5,ACAPULCO DE JUAREZ,337,B,29,114,140,10,9,7,4,11,2,0,3,,5,,,,,0,17,351,598,58.70%,,
5,ACAPULCO DE JUAREZ,337,C1,29,124,154,12,13,8,2,16,0,0,1,,8,,,,,0,15,382,597,63.99%,,
5,ACAPULCO DE JUAREZ,338,B,19,136,123,15,12,11,2,4,2,4,3,,4,,,,,0,30,365,628,58.12%,,
5,ACAPULCO DE JUAREZ,338,C1,16,112,236,15,9,10,2,5,3,3,2,,0,,,,,5,110,528,627,84.21%,,
5,ACAPULCO DE JUAREZ,343,B,8,119,115,17,12,23,2,8,6,0,6,,9,,,,,0,24,349,703,49.64%,,
5,ACAPULCO DE JUAREZ,343,C1,23,119,117,15,33,24,4,6,0,1,1,,7,,,,,0,19,369,703,52.49%,,
5,ACAPULCO DE JUAREZ,343,C2,32,129,95,15,17,23,1,13,1,2,2,,4,,,,,0,17,351,703,49.93%,,
5,ACAPULCO DE JUAREZ,344,B,25,97,107,12,12,12,0,4,0,0,0,,0,,,,,0,20,289,632,45.73%,,
5,ACAPULCO DE JUAREZ,344,C1,29,100,108,6,9,20,1,4,4,6,1,,0,,,,,0,28,316,632,50.00%,,
5,ACAPULCO DE JUAREZ,344,C2,35,83,104,9,15,26,4,1,1,2,2,,0,,,,,0,21,303,632,47.94%,,
5,ACAPULCO DE JUAREZ,345,B,16,35,58,22,1,99,1,2,0,0,0,,4,,,,,0,8,246,343,71.72%,,
5,ACAPULCO DE JUAREZ,345,E1,19,34,71,2,4,6,0,3,0,0,0,,0,,,,,0,10,149,212,70.28%,,
5,ACAPULCO DE JUAREZ,345,E2,6,18,40,2,0,18,0,2,0,0,0,,0,,,,,0,11,97,131,74.05%,,
5,ACAPULCO DE JUAREZ,346,B,20,123,55,8,5,99,1,1,0,1,1,,3,,,,,0,13,330,482,68.46%,,
5,ACAPULCO DE JUAREZ,347,B,51,74,80,10,12,14,4,4,2,2,2,,10,,,,,0,11,276,701,39.37%,,
5,ACAPULCO DE JUAREZ,347,C1,24,92,72,4,15,17,1,5,0,1,1,,4,,,,,0,8,244,701,34.81%,,
5,ACAPULCO DE JUAREZ,347,C2,25,79,82,7,16,16,0,8,1,3,2,,5,,,,,0,12,256,701,36.52%,,
5,ACAPULCO DE JUAREZ,347,C3,39,84,59,2,8,28,0,5,1,6,0,,1,,,,,19,0,252,701,35.95%,,
5,ACAPULCO DE JUAREZ,347,C4,42,74,0,0,12,14,4,14,1,8,4,,82,,,,,0,13,268,701,38.23%,,
5,ACAPULCO DE JUAREZ,347,C5,35,79,85,5,18,15,0,6,3,4,1,,0,,,,,0,10,261,701,37.23%,,
