ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,"Participación
Ciudadana"
4,ACAPULCO DE JUAREZ,39,B,56,65,58,5,15,28,3,19,13,0,4,3,3,1,21,294,619,47.50%
4,ACAPULCO DE JUAREZ,39,C1,54,80,61,3,16,25,7,19,8,11,1,2,2,0,14,303,618,49.03%
4,ACAPULCO DE JUAREZ,39,C2,58,73,48,5,11,26,11,20,12,14,1,2,2,1,22,306,618,49.51%
4,ACAPULCO DE JUAREZ,41,B,20,62,72,5,8,15,7,31,2,5,0,0,0,0,22,249,546,45.60%
4,ACAPULCO DE JUAREZ,41,C1,17,53,51,7,6,22,13,20,3,15,7,1,1,0,27,243,545,44.59%
4,ACAPULCO DE JUAREZ,41,C2,33,50,51,4,8,19,14,21,6,13,6,1,2,1,16,245,545,44.95%
4,ACAPULCO DE JUAREZ,42,B,20,47,51,2,8,23,9,20,5,19,5,2,2,0,26,239,553,43.22%
4,ACAPULCO DE JUAREZ,42,C1,18,55,47,2,9,29,5,18,3,15,3,0,1,1,16,222,553,40.14%
4,ACAPULCO DE JUAREZ,42,C2,13,66,45,5,7,19,10,19,8,20,3,0,3,1,16,235,553,42.50%
4,ACAPULCO DE JUAREZ,43,B,32,75,90,4,11,18,4,17,2,6,6,2,9,0,18,294,609,48.28%
4,ACAPULCO DE JUAREZ,43,C1,38,63,57,8,14,19,4,18,2,11,4,1,3,0,22,264,608,43.42%
4,ACAPULCO DE JUAREZ,44,B,19,85,64,1,5,15,14,29,3,9,6,5,0,0,25,280,567,49.38%
