ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,C,1,0,C01,3,47,7,4,37,8,2,143,9,3,2,6,17,0,,,,,,,,1,0,0,0,1,5,,,295,0,11,306,564,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,C,2,0,C02,2,46,10,3,42,3,3,183,2,2,2,5,21,0,,,,,,,,0,0,0,0,1,3,,,328,0,7,335,564,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,B,1,0,B,2,47,12,7,32,3,3,138,12,2,0,1,23,1,,,,,,,,0,1,0,0,1,1,,,286,0,28,314,574,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,C,1,0,C01,4,38,15,6,31,5,1,142,18,0,2,3,20,0,,,,,,,,0,0,0,0,2,2,,,289,1,18,308,574,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,C,2,0,C02,7,39,12,5,48,4,1,143,9,0,1,0,17,0,,,,,,,,1,0,0,0,3,4,,,294,0,17,311,573,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,B,1,0,B,6,74,15,6,31,16,8,172,13,2,1,5,16,1,,,,,,,,2,0,0,0,5,3,,,376,0,9,385,749,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C,1,0,C01,10,68,20,7,38,16,5,172,19,0,0,3,25,0,,,,,,,,1,0,2,0,4,4,,,394,0,26,420,749,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C,2,0,C02,9,70,15,7,36,16,5,169,15,3,0,6,14,3,,,,,,,,0,0,0,0,4,4,,,376,1,28,405,749,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C,3,0,C03,9,85,11,1,38,16,11,179,13,0,1,3,21,1,,,,,,,,0,0,0,0,2,3,,,394,0,15,409,749,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C,4,0,C04,9,81,9,6,37,13,10,174,16,1,0,0,24,1,,,,,,,,2,0,0,0,3,3,,,389,0,13,402,748,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,32,B,1,0,B,6,83,16,2,29,8,3,161,1,2,0,0,19,4,,,,,,,,0,0,0,0,2,2,,,338,0,12,350,524,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,32,C,1,0,C01,5,88,11,5,43,3,3,137,7,0,0,1,18,1,,,,,,,,1,0,0,1,2,2,,,328,1,10,339,523,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,B,1,0,B,5,57,16,5,33,9,4,167,13,1,0,7,21,5,,,,,,,,0,0,0,0,2,5,,,350,0,17,367,588,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,C,1,0,C01,7,60,23,4,28,1,2,187,17,0,1,2,27,3,,,,,,,,0,0,0,0,0,3,,,365,1,9,375,588,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,C,2,0,C02,3,74,17,6,26,7,0,190,5,2,0,11,21,3,,,,,,,,1,0,0,0,1,5,,,372,1,10,383,588,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,34,B,1,0,B,6,57,8,3,37,2,5,139,9,2,1,4,16,0,,,,,,,,0,0,0,0,0,0,,,289,0,12,301,539,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,34,C,1,0,C01,5,52,10,0,29,3,4,141,9,1,0,3,23,1,,,,,,,,0,0,1,0,0,0,,,282,3,9,294,539,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,35,B,1,0,B,11,60,10,1,39,9,3,96,2,1,0,1,19,2,,,,,,,,0,1,0,0,1,1,,,257,0,11,268,435,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,35,C,1,0,C01,5,52,10,6,36,5,4,108,2,1,0,2,15,6,,,,,,,,0,0,0,0,0,2,,,254,0,8,262,434,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,B,1,0,B,6,43,13,3,43,2,3,162,5,0,1,2,17,4,,,,,,,,0,0,0,0,2,0,,,306,0,6,312,529,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,C,1,0,C01,7,34,13,2,38,4,3,137,4,1,0,5,10,4,,,,,,,,0,0,0,0,2,0,,,264,0,15,279,529,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,C,2,0,C02,4,57,14,7,33,4,2,156,13,2,4,3,0,0,,,,,,,,0,0,0,0,2,3,,,304,0,11,315,529,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,37,B,1,0,B,4,48,16,4,31,5,2,179,8,0,4,6,25,0,,,,,,,,2,0,0,0,2,6,,,342,0,15,357,643,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,37,C,1,0,C01,5,40,14,3,45,9,5,167,9,4,4,4,27,0,,,,,,,,4,1,0,0,4,6,,,351,0,8,359,642,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,B,1,0,B,11,69,16,4,45,4,3,178,5,1,9,1,34,5,,,,,,,,1,0,0,0,1,1,,,388,0,9,397,609,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,C,1,0,C01,6,61,13,3,42,2,4,188,6,0,3,6,17,3,,,,,,,,0,1,0,0,4,4,,,363,0,8,371,608,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,C,2,0,C02,7,65,20,2,34,3,2,188,3,1,9,2,20,0,,,,,,,,0,0,0,0,3,4,,,363,0,14,377,608,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,B,1,0,B,19,78,15,2,56,4,3,184,3,1,0,2,19,1,,,,,,,,0,0,0,0,1,4,,,392,2,11,405,629,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,C,1,0,C01,10,72,13,8,51,6,0,151,6,1,0,3,26,1,,,,,,,,1,0,0,0,6,4,,,359,3,10,372,629,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,C,2,0,C02,15,56,9,14,67,5,8,185,4,3,1,4,23,0,,,,,,,,2,0,0,0,8,5,,,409,0,3,412,628,Acta casilla,,,
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,40,B,1,0,B,10,55,11,4,42,3,4,149,3,1,1,2,20,1,,,,,,,,2,1,0,0,4,2,,,315,0,1,316,510,Acta casilla,,,
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,40,C,1,0,C01,10,46,11,5,42,2,9,156,4,0,2,1,20,1,,,,,,,,0,0,0,0,2,3,,,314,0,17,331,510,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,B,1,0,B,8,53,23,3,49,12,4,226,17,0,1,2,23,0,,,,,,,,3,0,0,0,2,6,,,432,0,14,446,745,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,C,1,0,C01,13,78,32,6,51,6,5,208,18,2,0,2,23,1,,,,,,,,1,2,0,1,3,7,,,459,0,15,474,745,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,B,1,0,B,9,49,14,5,33,12,2,145,10,2,3,0,18,0,,,,,,,,1,1,0,0,1,3,,,308,0,8,316,518,Acta casilla,,,
